Active EFROS 3.2014,,,,,
EFRO ID,Account Number (Agency),Agency Alias (Agency),Agency,Program Type,Manual Entry
84480,R443,M169,The BRC Food Service Program,Rehab - Disability,n
84481,R443,M169,The BRC Food Service Program,Rehab - Substance Abuse,n
80694,R444,M17,Phase Piggyback Inc.,Shelter,y
84845,R445,M170,Barrier Free Living,Shelter,n
84074,R446,M171,BRC - Los Vecinos SRO,Shelter,y
83311,R447,M172,Southern Baptist Church,Soup Kitchen,y
81961,R45,BK126,Macedonia Church of Christ,Food Pantry,y
82842,R450,M175,The Holy Trinity Neighborhood Center,Soup Kitchen,n
82844,R451,M176,Hamilton Grange Senior Citizen Center,Senior Center,y
81526,R453,M178,Crossroads SDA Church,Soup Kitchen,y
80491,R455,M18,Bowery Mission Ministries,Soup Kitchen,n
83698,R456,M180,Mount Olivet Baptist Church,Soup Kitchen,y
83699,R456,M180,Mount Olivet Baptist Church,Food Pantry,y
80522,R458,M182,Church of The Epiphany,Soup Kitchen,n
85069,R46,BK127,Brown Memorial Baptist Church,Food Pantry,n
80602,R460,M184,SA - Harlem Temple,Food Pantry,n
81418,R460,M184,SA - Harlem Temple,Soup Kitchen,n
80667,R462,M186,Mount Zion A.M.E Church,Food Pantry,y
85021,R463,M187,"Morningside Park East Coalition, Inc - Food Pantry",Food Pantry,y
85064,R465,M189,Day Spring Church,Food Pantry,y
80644,R466,M19,New York City Rescue Mission,Soup Kitchen,n
82859,R466,M19,New York City Rescue Mission,Food Pantry,n
80720,R467,M190,Salvation Army New York Temple Corps,Food Pantry,n
81297,R467,M190,Salvation Army New York Temple Corps,Soup Kitchen,n
87208,R468,M191,Stanley Isaacs Community Center,Soup Kitchen,y
81622,R469,M192,Jan Hus Presbyterian Church,Soup Kitchen,n
84540,R469,M192,Jan Hus Presbyterian Church,Food Pantry,n
83353,R470,M193,Liberation & Healing Food Pantry,Food Pantry,n
80565,R473,M20,Emmaus House Inc.,Food Pantry,n
80846,R474,M21,West Side Campaign Against Hunger,Food Pantry,n
80810,R475,M22,Urban Pathways - Travelers' Safe Haven,Shelter,n
82802,R476,M22B,Urban Pathways Olivieri,Soup Kitchen,n
82803,R477,M23,Jackie Robinson Senior Center,Food Pantry,y
81451,R478,M25,Coalition for the Homeless,Soup Kitchen,n
80832,R479,M26,University Community Social Services,Soup Kitchen,y
83569,R48,BK129,Shiloh SDA Church,Food Pantry,n
80767,R481,M27,St. Mary's Episcopal Church F/P,Soup Kitchen,n
81073,R481,M27,St. Mary's Episcopal Church F/P,Food Pantry,n
81353,R482,M28,Bethel Gospel Assembly Inc.,Food Pantry,n
84088,R482,M28,Bethel Gospel Assembly Inc.,Soup Kitchen,n
80781,R483,M29,St. Paul's House. Inc,Food Pantry,n
80782,R483,M29,St. Paul's House. Inc,Soup Kitchen,n
81452,R484,M30,Canaan Senior Service Center,Food Pantry,n
81917,R486,M31,Church of the Village/UMC,Food Pantry,n
85261,R486,M31,Church of the Village/UMC,Soup Kitchen,n
87125,R487,M32,Project Renewal - Manhattan Bowery,Shelter,n
84676,R489,M34,Cothoa Luncheon Club,Senior Center,n
84126,R490,M35,Foundation House South FROST'D,Soup Kitchen,y
81251,R491,M36,Broadway Community Inc.,Soup Kitchen,n
82861,R491,M36,Broadway Community Inc.,Food Pantry,n
84632,R493,M37,Washington Heights Community Services Inc,Senior Center,n
80772,R494,M38,St. Nicholas Senior Center,Food Pantry,y
81204,R495,M39,St. Lukes Lutheran Church,Soup Kitchen,n
80718,R496,M41,Sacred Heart of Jesus Church,Soup Kitchen,y
84451,R497,M42,Community Food Resource Center,Food Pantry,y
80739,R499,M44,Crossroads Community Services,Food Pantry,n
80393,R50,BK13,St. John's Bread and Life Program,Soup Kitchen,n
81626,R50,BK13,St. John's Bread and Life Program,Food Pantry,n
83946,R50,BK13,St. John's Bread and Life Program,Soup Kitchen,n
84061,R500,M45,Lower East Side Harm Reduction Center,Rehab - Substance Abuse,n
84062,R501,M47,Pride Site 2,Shelter,y
87066,R502,M48,George Daly House,Shelter,n
81198,R503,M49,The Momentum Project Inc.,Soup Kitchen,n
83662,R503,M49,The Momentum Project Inc.,Soup Kitchen,n
84085,R503,M49,The Momentum Project Inc.,Soup Kitchen,n
85269,R503,M49,The Momentum Project Inc.,Food Pantry,n
